Data,ID_Produto,Nome_Produto,Categoria,ID_Departamento,Nome_Departamento,Quantidade_Consumida,Custo_Unitário,Fornecedor,Localizacao,Data_Entrada,Data_Vencimento,Lote,Quantidade_Em_Estoque,Quantidade_Em_Pedido,Custo_Total,Custo_Total_Anual,Data_Compra,Fornecedor_Contato,Status_Produto
20/04/2024,P003,Soro Fisiologico 0.9%,Solucao Injetavel,D003,Urgencia,101,2.89,Fornecedor A,Beira,02/04/2024,28/11/2024,L2684,231,81,1503.74,2111.24,02/04/2024,+258 84 4971793,Em Estoque
15/02/2024,P002,Amoxicilina 500mg,Antibiotico,D003,Urgencia,181,8.78,Fornecedor D,Beira,10/01/2024,07/09/2024,L5371,131,99,342.1,4529.49,10/01/2024,+258 84 4731818,Em Estoque
27/04/2024,P002,Amoxicilina 500mg,Antibiotico,D002,Pediatria,178,2.74,Fornecedor A,Nampula,26/03/2024,01/09/2025,L5564,492,18,503.4,3493.8,26/03/2024,+258 84 9996207,Esgotado
08/01/2024,P002,Amoxicilina 500mg,Antibiotico,D005,Laboratorio,19,1.98,Fornecedor C,Pemba,22/12/2023,30/03/2025,L6663,423,50,1039.4,1553.06,22/12/2023,+258 84 4188992,Esgotado
12/01/2024,P001,Paracetamol 500mg,Analgesico,D005,Laboratorio,103,4.88,Fornecedor B,Nampula,18/11/2023,29/09/2025,L6143,389,25,701.08,3932.13,18/11/2023,+258 84 7751158,Perto de Vencer
16/03/2024,P002,Amoxicilina 500mg,Antibiotico,D004,Farmacia,183,7.73,Fornecedor D,Beira,31/01/2024,20/01/2025,L5930,257,80,186.74,2955.48,31/01/2024,+258 84 6406444,Esgotado
23/04/2024,P005,Ciprofloxacino 500mg,Antibacteriano,D004,Farmacia,178,1.76,Fornecedor B,Nampula,16/03/2024,26/05/2025,L2530,469,40,389.81,1398.04,16/03/2024,+258 84 1775337,Em Estoque
01/05/2024,P004,Ibuprofeno 200mg,Anti-inflamatorio,D004,Farmacia,193,7.27,Fornecedor B,Pemba,13/03/2024,10/01/2025,L7547,174,28,460.73,7454.59,13/03/2024,+258 84 2788238,Esgotado
26/02/2024,P004,Ibuprofeno 200mg,Anti-inflamatorio,D001,Clinica Geral,41,5.11,Fornecedor B,Pemba,05/02/2024,05/02/2026,L9702,336,86,1251.1,4763.9,05/02/2024,+258 84 9468772,Esgotado
20/05/2024,P004,Ibuprofeno 200mg,Anti-inflamatorio,D004,Farmacia,73,8.56,Fornecedor C,Nampula,12/04/2024,27/04/2025,L9540,298,90,385.32,4000.41,12/04/2024,+258 84 4934149,Esgotado
26/03/2024,P002,Amoxicilina 500mg,Antibiotico,D002,Pediatria,108,7.25,Fornecedor B,Beira,25/02/2024,13/12/2024,L2052,262,62,788.39,1111,25/02/2024,+258 84 8048838,Esgotado
29/05/2024,P005,Ciprofloxacino 500mg,Antibacteriano,D004,Farmacia,11,9.48,Fornecedor D,Nampula,05/04/2024,15/12/2024,L7389,486,63,1445.07,6386.88,05/04/2024,+258 84 4700025,Esgotado
26/02/2024,P004,Ibuprofeno 200mg,Anti-inflamatorio,D001,Clinica Geral,96,7.02,Fornecedor D,Pemba,30/01/2024,13/11/2025,L3704,480,69,805.77,960.61,30/01/2024,+258 84 7610562,Perto de Vencer
24/05/2024,P001,Paracetamol 500mg,Analgesico,D004,Farmacia,128,2.64,Fornecedor B,Nampula,02/04/2024,17/12/2024,L7211,217,37,654.31,7927,02/04/2024,+258 84 5668371,Esgotado
05/03/2024,P001,Paracetamol 500mg,Analgesico,D005,Laboratorio,99,3.02,Fornecedor A,Maputo,19/02/2024,26/12/2025,L1659,436,13,315.75,3361.93,19/02/2024,+258 84 5002120,Em Estoque
01/05/2024,P005,Ciprofloxacino 500mg,Antibacteriano,D002,Pediatria,189,3.31,Fornecedor D,Nampula,10/03/2024,22/02/2025,L3749,360,87,632.01,5644.89,10/03/2024,+258 84 2813596,Perto de Vencer
07/01/2024,P004,Ibuprofeno 200mg,Anti-inflamatorio,D002,Pediatria,161,7.22,Fornecedor A,Beira,09/12/2023,24/07/2025,L2669,406,48,653.28,6346.49,09/12/2023,+258 84 6825112,Perto de Vencer
19/04/2024,P001,Paracetamol 500mg,Analgesico,D005,Laboratorio,13,8.65,Fornecedor C,Pemba,27/02/2024,30/10/2025,L2729,271,56,1230.08,1866.54,27/02/2024,+258 84 9753457,Perto de Vencer
